uuid,v1,v2
2ab718d6-2cc2-11e9-8aa7-16b061fc019a,FALSE,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",,,
2ab718d6-2cc2-11e9-8aa7-16b061fc019a,FALSE,Ok lar... Joking wif u oni...,,,
2ab718d6-2cc2-11e9-8aa7-16b061fc019a,TRUE,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,,,
2ab718d6-2cc2-11e9-8aa7-16b061fc019a,FALSE,U dun say so early hor... U c already then say...,,,
2ab718d6-2cc2-11e9-8aa7-16b061fc019a,FALSE,"Nah I don't think he goes to usf, he lives around here though",,,
2ab718d6-2cc2-11e9-8aa7-16b061fc019a,TRUE,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, �1.50 to rcv",,,
2ab718d6-2cc2-11e9-8aa7-16b061fc019a,FALSE,Even my brother is not like to speak with me. They treat me like aids patent.,,,
2ab718d6-2cc2-11e9-8aa7-16b061fc019a,FALSE,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
2ab718d6-2cc2-11e9-8aa7-16b061fc019a,TRUE,WINNER!! As a valued network customer you have been selected to receivea �900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,,,
2ab718d6-2cc2-11e9-8aa7-16b061fc019a,TRUE,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,,,
2ab718d6-2cc2-11e9-8aa7-16b061fc019a,FALSE,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",,,
2ab718d6-2cc2-11e9-8aa7-16b061fc019a,TRUE,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",,,
2ab718d6-2cc2-11e9-8aa7-16b061fc019a,TRUE,"URGENT! You have won a 1 week FREE membership in our �100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",,,
2ab718d6-2cc2-11e9-8aa7-16b061fc019a,FALSE,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,,,
2ab718d6-2cc2-11e9-8aa7-16b061fc019a,FALSE,I HAVE A DATE ON SUNDAY WITH WILL!!,,,
2ab718d6-2cc2-11e9-8aa7-16b061fc019a,TRUE,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",,,
2ab718d6-2cc2-11e9-8aa7-16b061fc019a,FALSE,Oh k...i'm watching here:),,,
2ab718d6-2cc2-11e9-8aa7-16b061fc019a,FALSE,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,,,
